72.55,30.3,2022-04-04 02:27
72.78,30.37,2022-04-04 02:28
72.78,30.37,2022-04-04 02:28
72.78,30.58,2022-04-04 02:28
72.89,30.58,2022-04-04 02:28
72.89,30.58,2022-04-04 02:28
72.89,30.06,2022-04-04 02:32
72.54,30.06,2022-04-04 02:32
72.54,30.06,2022-04-04 02:32
72.54,29.62,2022-04-04 02:44
73.84,29.62,2022-04-04 02:44
73.84,29.62,2022-04-04 02:44
75.35,29.25,2022-04-04 03:12
75.35,29.11,2022-04-04 03:19
75.64,29.11,2022-04-04 03:19
75.64,29.11,2022-04-04 03:19
75.64,29.04,2022-04-04 03:53
76.49,29.04,2022-04-04 03:53
76.49,29.04,2022-04-04 03:53
77.34,28.93,2022-04-04 04:11
77.34,28.91,2022-04-04 04:16
77.49,28.91,2022-04-04 04:16
77.49,28.91,2022-04-04 04:16
77.49,28.98,2022-04-04 04:31
77.65,28.98,2022-04-04 04:31
77.65,28.98,2022-04-04 04:31
77.64,28.95,2022-04-04 05:11
77.64,28.95,2022-04-04 05:53
78.12,28.95,2022-04-04 05:53
78.12,28.95,2022-04-04 05:53
78.12,29,2022-04-04 06:10
77.85,29,2022-04-04 06:10
77.85,29,2022-04-04 06:10
77.86,28.98,2022-04-04 06:11
77.86,28.98,2022-04-04 06:18
77.81,28.98,2022-04-04 06:18
77.81,28.98,2022-04-04 06:18
77.81,28.9,2022-04-04 06:33
78.03,28.9,2022-04-04 06:33
78.03,28.9,2022-04-04 06:33
78.03,28.9,2022-04-04 06:52
78.24,28.9,2022-04-04 06:52
78.24,28.9,2022-04-04 06:52
78.36,28.91,2022-04-04 07:09
78.36,28.97,2022-04-04 07:14
78.3,28.97,2022-04-04 07:14
78.3,28.97,2022-04-04 07:14
78.3,28.91,2022-04-04 07:33
78.31,28.91,2022-04-04 07:33
78.31,28.91,2022-04-04 07:33
78.35,28.98,2022-04-04 08:02
78.35,29,2022-04-04 08:23
78.31,29,2022-04-04 08:23
78.31,29,2022-04-04 08:23
78.31,29.14,2022-04-04 08:58
77.08,29.14,2022-04-04 08:58
77.08,29.14,2022-04-04 08:58
76.83,29.18,2022-04-04 08:59
72.55,30.3,2022-04-5 02:27
72.78,30.37,2022-04-05 02:28
72.78,30.37,2022-04-05 02:28
72.78,30.58,2022-04-05 02:28
72.89,30.58,2022-04-05 02:28
72.89,30.58,2022-04-05 02:28
72.89,30.06,2022-04-05 02:32
72.54,30.06,2022-04-05 02:32
72.54,30.06,2022-04-05 02:32
72.54,29.62,2022-04-05 02:44
73.84,29.62,2022-04-05 02:44
73.84,29.62,2022-04-05 02:44
75.35,29.25,2022-04-05 03:12
75.35,29.11,2022-04-05 03:19
75.64,29.11,2022-04-05 03:19
75.64,29.11,2022-04-05 03:19
75.64,29.04,2022-04-05 03:53
76.49,29.04,2022-04-05 03:53
76.49,29.04,2022-04-05 03:53
77.34,28.93,2022-04-05 04:11
77.34,28.91,2022-04-05 04:16
77.49,28.91,2022-04-05 04:16
77.49,28.91,2022-04-05 04:16
77.49,28.98,2022-04-05 04:31
77.65,28.98,2022-04-05 04:31
77.65,28.98,2022-04-05 04:31
77.64,28.95,2022-04-05 05:11
77.64,28.95,2022-04-05 05:53
78.12,28.95,2022-04-05 05:53
78.12,28.95,2022-04-05 05:53
78.12,29,2022-04-05 06:10
77.85,29,2022-04-05 06:10
77.85,29,2022-04-05 06:10
77.86,28.98,2022-04-05 06:11
77.86,28.98,2022-04-05 06:18
77.81,28.98,2022-04-05 06:18
77.81,28.98,2022-04-05 06:18
77.81,28.9,2022-04-05 06:33
78.03,28.9,2022-04-05 06:33
78.03,28.9,2022-04-05 06:33
78.03,28.9,2022-04-05 06:52
78.24,28.9,2022-04-05 06:52
78.24,28.9,2022-04-05 06:52
78.36,28.91,2022-04-05 07:09
78.36,28.97,2022-04-05 07:14
78.3,28.97,2022-04-05 07:14
78.3,28.97,2022-04-05 07:14
78.3,28.91,2022-04-05 07:33
78.31,28.91,2022-04-05 07:33
78.31,28.91,2022-04-05 07:33
78.35,28.98,2022-04-05 08:02
78.35,29,2022-04-05 08:23
78.31,29,2022-04-05 08:23
78.31,29,2022-04-05 08:23
78.31,29.14,2022-04-05 08:58
77.08,29.14,2022-04-05 08:58
77.08,29.14,2022-04-05 08:58
76.83,29.18,2022-04-05 08:59
