72.55,30.3,2022-04-04 02:27:40.871580
72.78,30.37,2022-04-04 02:28:22.195652
72.78,30.37,2022-04-04 02:28:24.324478
72.78,30.58,2022-04-04 02:28:34.622261
72.89,30.58,2022-04-04 02:28:34.635471
72.89,30.58,2022-04-04 02:28:34.636384
72.89,30.06,2022-04-04 02:32:46.048434
72.54,30.06,2022-04-04 02:32:46.060300
72.54,30.06,2022-04-04 02:32:46.061329
72.54,29.62,2022-04-04 02:44:49.665052
73.84,29.62,2022-04-04 02:44:49.675923
73.84,29.62,2022-04-04 02:44:49.676920
75.35,29.25,2022-04-04 03:12:17.770025
75.35,29.11,2022-04-04 03:19:50.702360
75.64,29.11,2022-04-04 03:19:50.719280
75.64,29.11,2022-04-04 03:19:50.720948
75.64,29.04,2022-04-04 03:53:00.537603
76.49,29.04,2022-04-04 03:53:00.547782
76.49,29.04,2022-04-04 03:53:00.549005
77.34,28.93,2022-04-04 04:11:16.028731
77.34,28.91,2022-04-04 04:16:48.365144
77.49,28.91,2022-04-04 04:16:48.383106
77.49,28.91,2022-04-04 04:16:48.384557
77.49,28.98,2022-04-04 04:31:02.800602
77.65,28.98,2022-04-04 04:31:02.811646
77.65,28.98,2022-04-04 04:31:02.812503
77.64,28.95,2022-04-04 05:11:24.788469
77.64,28.95,2022-04-04 05:53:17.775790
78.12,28.95,2022-04-04 05:53:17.787535
78.12,28.95,2022-04-04 05:53:17.788391
78.12,29,2022-04-04 06:10:43.075762
77.85,29,2022-04-04 06:10:43.087309
77.85,29,2022-04-04 06:10:43.088293
77.86,28.98,2022-04-04 06:11:03.402406
77.86,28.98,2022-04-04 06:18:46.397492
77.81,28.98,2022-04-04 06:18:46.408961
77.81,28.98,2022-04-04 06:18:46.411008
77.81,28.9,2022-04-04 06:33:51.080932
78.03,28.9,2022-04-04 06:33:51.091525
78.03,28.9,2022-04-04 06:33:51.093371
78.03,28.9,2022-04-04 06:52:26.736389
78.24,28.9,2022-04-04 06:52:26.747476
78.24,28.9,2022-04-04 06:52:26.748803
78.36,28.91,2022-04-04 07:09:01.772920
78.36,28.97,2022-04-04 07:14:03.983310
78.3,28.97,2022-04-04 07:14:03.985262
78.3,28.97,2022-04-04 07:14:03.986277
78.3,28.91,2022-04-04 07:33:09.827079
78.31,28.91,2022-04-04 07:33:09.839502
78.31,28.91,2022-04-04 07:33:09.840482
78.35,28.98,2022-04-04 08:02:48.692987
78.35,29,2022-04-04 08:23:25.367342
78.31,29,2022-04-04 08:23:25.378442
78.31,29,2022-04-04 08:23:25.379799
78.31,29.14,2022-04-04 08:58:45.912080
77.08,29.14,2022-04-04 08:58:45.924012
77.08,29.14,2022-04-04 08:58:45.925422
76.83,29.18,2022-04-04 08:59:46.441452
